ID,Category,Name,Country,State,Hierarchical,Presence_species,Latitude,Longitud,
50,Reserva_Extrativista,Cassuruba_Marine_Extractive_Reserve,Brazil,(Bahia),National,No,-17.839430748483935,-39.26203576233824
51,Reserva_Extrativista,Canavieiras_Marine_Extractive_Reserve,Brazil,(Bahia),National,No,-15.38290556,-38.97333889,
52,Parque_Nacional,Abrolhos_Marine_National_Park,Brazil,(Bahia),National,Ea,-17.81666667,-38.81666667,
53,Parque_Nacional,Fernando_de_Noronha_Marine_National_Park,Brazil,(Pernambuco),National,No,-3.858424539552239,-32.41526065822121, 
54,Reserva,Atol_das_Rocas_Biological_Reserve,Brazil,(RioGrandedoNorte),National,No,-3.863888889,-33.81333333,
55,APA,Guadalupe_Environmental_Protection_Area,Brazil,(Pernambuco),State,No,-8.733339167,-42.15861111,
56,APA,Setiba_Environmental_Protection_Area,Brazil,(EspiritoSanto),State,No,-20.64,-40.45,
57,APA,Ponta_da_Baleia_Environmental_Protection_Area,Brazil,(Bahia),State,Ea,-22.14,-50.94,
58,Parque_Estadual,Areia_Vermelha_Marine_State_Park,Brazil,(Paraiba),State,No,-7.010555556,-34.81694444,
59,Parque_Estadual,Pedra_da_Risca_do_Meio_Marine_State_Park,Brazil,(Ceara),State,No,-3.6,-38.43333333,
60,Parque_Estadual,Parcel_de_Manuel_Luis_Marine_State_Park,Brazil,(Maranhao),State,No,-0.833333333,-44.25,
61,Parque_Nacional,Cabo_Polonio_National_Park,Uruguay,(Rocha),National,Of_Ea,-34.38333333,-53.8,
62,area_Protegida,Santa_Lucia_Wetlands_Managed_Resource_Protected_Area,Uruguay,(Montevideo),National,No,-34.68802778,-56.44241667,
63,area_Natural_Protegida,Bahia_de_San_Antonio_Natural_Protected_Area,Argentina,(RioNegro),State,Of,-40.76666667,-65.03333333,
64,Parque_Nacional,Complejo_Islote_Lobos_National_Park,Argentina,(RioNegro),State,Of,-41.4,-65,
65,area_Protegida,Puerto_Lobos,Argentina,(RioNegro),State,Of_Ea,-41.76666667,-65,
66,Parque_Nacional,Peninsula_Valdez_National_Park,Argentina,(Chubut),National,Of_Ea,-43.63222222,-64.49497222,
67,Reserva_Natural_Provincial,Ria_Deseado_Provincial_Natural_Reserve,Argentina,(SantaCruz),State,Of_Ea,-51.32305556,-68.86972222,
68,Reserva_Natural,Rincon_de_Ajo_Definite_Objective_Natural_Reserve,Argentina,(BuenosAires),State,No,-36.32,-56.94,
69,area_Marina_Protegida,Yaganes_Marine_Protected_Area,Argentina,(ZEE),National,Of,-55.93,-64.92,
70,Parque_natural_provincial,Monte_Loayza_Provincial_Natural_Park,Argentina,(SantaCruz),State,Of,-47.09777778,-66.28222222,
71,Reserva_Natural,Campo_Mar_Chiquita_-_Dragones_de_Malvinas_Natural_Defense_Reserve,Argentina,(BuenosAires),National,,-37.71,-57.41,
72,Reserva_Natural,Baterias_-_Charles_Darwin_Natural_Defense_Reserve,Argentina,(BuenosAires),National,,-38.98,-61.68,
